ri,ci,anomaly,intensity,type
0,1.6986138613861383,True,6,cpu
0,1.7139453125,False,16,cpu
0,1.4547780126849894,True,7,io
0,1.7149259624876605,True,9,memory
0,1.4789217391304348,False,7,cpu
0,5928.497208413002,True,7,cpu
0,1.6769736842105265,False,16,cpu
0,6793.290909090909,True,3,memory
0,1.2770071258907365,False,3,cpu
0,3904.268235294117,True,2,io
0,1.6212285012285013,False,3,cpu
0,1.4662385321100917,False,6,cpu
0,1.3167741935483872,False,10,cpu
0,1.3134010152284263,False,7,cpu
0,4803.7109509202455,True,11,cpu
0,24416.331050583656,False,5,io
0,1.5940834141610087,True,15,cpu
0,2666.921633281972,True,16,io
0,1.547794871794872,False,7,cpu
0,1.5625623960066557,False,6,io
0,9175.908761651131,False,1,cpu
0,4941.683923006416,False,10,cpu
0,1.5872183449651047,False,7,cpu
0,1.454501547987616,True,14,memory
0,1028.3763725847612,True,8,cpu
0,9557.924590860786,True,6,memory
0,4662.8617073170735,True,8,io
0,1.441,False,6,cpu
0,1.5685082872928175,False,4,cpu
0,1.1010551558752997,True,1,memory
0,1.5812799999999998,False,2,memory
0,1.6700668151447662,False,13,io
0,1.2464161849710982,True,8,cpu
0,1.5070616982284666,True,15,io
0,5657.371022128556,True,10,io
0,1.66604118993135,True,16,io
0,1.703503981797497,True,3,memory
0,13944.49,True,8,io
0,1.6996111111111112,True,16,io
0,1.5475334909377465,True,2,io
0,1.2485,True,15,io
0,1.7179325842696629,False,3,cpu
0,8870.708235294118,True,5,cpu
0,9450.05785915493,True,16,cpu
0,1.7260413354531003,False,12,cpu
0,1.5417558299039782,True,15,io
0,4158.826918714556,True,3,memory
0,1.4957109557109558,True,8,cpu
0,3564.1012578616355,True,15,cpu
0,1.2635862068965515,False,8,cpu
0,1.443073496659243,False,5,io
0,1.2950282485875706,True,11,cpu
0,1.31226019845645,False,11,cpu
0,1.6206666666666665,False,3,cpu
0,1.6296916299559472,False,2,memory
0,1.488932461873638,False,7,cpu
0,1.5056421677802525,False,10,cpu
0,1.236393442622951,True,4,io
0,1.6574102964118569,False,7,cpu
0,1.7405863192182411,False,4,cpu
0,3953.480371352785,True,6,memory
0,1.605020352781547,False,7,cpu
0,1.742023608768971,False,6,cpu
0,1964.0899027409373,True,10,io
0,2908.5508984375,True,15,cpu
0,4987.90248,False,3,cpu
0,1.411177446102819,True,5,cpu
0,1.729852140077821,False,7,cpu
0,1.5146762589928058,True,2,io
0,1.5459134345137715,True,2,io
0,1.5199640287769784,False,8,cpu
0,1.2713846153846151,True,6,memory
0,1.7240549828178693,False,13,io
0,1.7159817351598174,False,8,cpu
0,1.6407029876977153,False,3,cpu
0,2629.117425742574,True,5,cpu
0,1.4467780872794802,False,5,io
0,1.367724222086638,False,10,cpu
0,1.454355828220859,False,13,memory
0,1.549178743961353,True,16,io
0,1.6374893009985734,True,4,io
0,1.4460869565217391,False,12,memory
0,1.1658046767537826,False,7,cpu
0,1.3471748878923766,True,14,memory
0,1.1916201117318437,False,2,memory
0,1.6422918384171474,True,4,io
0,1.5897539149888142,True,16,io
0,1.3717803660565724,True,12,cpu
0,1.5984255319148937,False,7,cpu
0,850.3059451219511,True,15,cpu
0,1.5144629349470498,True,11,cpu
0,1.2533333333333334,True,5,io
0,1.1441713221601488,True,15,io
0,1.2188349514563106,False,12,cpu
0,1.181685393258427,False,10,cpu
0,1.364826700898588,True,11,cpu
0,1.4004233483001922,False,8,cpu
0,1.5515151515151515,True,12,io
0,1.7325050916496945,True,10,cpu
0,1.5982971014492753,True,16,io
0,1.3590322580645162,False,1,cpu
0,1.543780487804878,False,10,cpu
0,1.287022653721683,True,9,memory
0,1.2051162790697676,True,2,io
0,1.577948717948718,False,12,cpu
0,1.4315019255455714,False,16,cpu
0,4356.574812433011,True,5,cpu
0,6569.103664921467,True,6,memory
0,1.3457247037374658,True,16,cpu
0,1.660747663551402,True,16,io
0,1.3759457866823808,False,16,cpu
0,1.6667280334728034,True,14,memory
0,1.648243626062323,True,15,cpu
0,1.2290154211150652,True,11,cpu
0,1.7097828139754483,False,14,io
0,1.5631898734177216,False,5,io
0,1.707557354925776,False,4,cpu
0,3710.905765230312,True,16,io
0,1.62256038647343,False,2,memory
0,1.1651170046801873,True,11,cpu
0,1.2880769230769231,True,10,cpu
0,1.407905759162304,True,15,cpu
0,4189.571756601607,True,1,cpu
0,1.41246403712297,True,1,cpu
0,1.23,True,11,cpu
0,1.7145650224215248,False,12,cpu
0,1.3309790979097909,False,16,cpu
0,1.856674157303371,False,10,cpu
0,1.6411214953271027,False,3,cpu
0,1.6361144578313251,True,16,io
0,1.557935103244838,False,7,cpu
0,3053.890643086817,True,1,memory
0,1.4641388888888889,False,6,memory
0,1.452212389380531,False,2,memory
0,1.518823529411765,True,8,cpu
0,1.2383783783783784,False,7,cpu
0,1.6189473684210525,True,15,io
0,1.6919936457505955,True,9,memory
0,1.5552091254752851,False,11,cpu
0,1.5625377643504532,True,6,memory
0,1.435186440677966,False,16,cpu
0,1.2864615384615383,False,8,cpu
0,1.18,False,5,io
0,2024.531231281198,True,7,io
0,1.6474474474474474,False,2,memory
0,1.708074824629774,False,12,cpu
